date;clot
07/09/2007;78.99
10/09/2007;78.33
11/09/2007;79.18
12/09/2007;79.89
13/09/2007;80.2
14/09/2007;80.19
17/09/2007;78.92
18/09/2007;80.5
19/09/2007;82.29
20/09/2007;81.66
21/09/2007;82.82
24/09/2007;82.69
25/09/2007;82.55
26/09/2007;83
27/09/2007;83.37
28/09/2007;84.07
01/10/2007;85.12
02/10/2007;85.55
03/10/2007;85.49
04/10/2007;85.92
05/10/2007;85.99
08/10/2007;86.1
09/10/2007;86.21
10/10/2007;85.65
11/10/2007;85.97
12/10/2007;85.5
15/10/2007;87.68
16/10/2007;86.48
17/10/2007;88.15
18/10/2007;87.07
19/10/2007;87.82
22/10/2007;86.63
23/10/2007;86.07
24/10/2007;86.03
25/10/2007;87.81
26/10/2007;88.23
29/10/2007;88.93
30/10/2007;88.12
31/10/2007;88.88
01/11/2007;87.72
02/11/2007;86.13
05/11/2007;85.9
06/11/2007;86.07
07/11/2007;84.4
08/11/2007;83.46
09/11/2007;81.77
12/11/2007;80.82
13/11/2007;81.5
14/11/2007;82.82
15/11/2007;81.95
16/11/2007;80.77
19/11/2007;79.33
20/11/2007;79.69
21/11/2007;78
22/11/2007;78.97
23/11/2007;80.28
26/11/2007;80.45
27/11/2007;79.74
28/11/2007;82.4
29/11/2007;82.61
30/11/2007;82.94
03/12/2007;82.38
04/12/2007;81.71
05/12/2007;82.6
06/12/2007;83.39
07/12/2007;84.34
10/12/2007;84.55
11/12/2007;84.37
12/12/2007;84.7
13/12/2007;82.4
14/12/2007;82.89
17/12/2007;81.8
18/12/2007;80.96
19/12/2007;81.1
20/12/2007;81.15
21/12/2007;82
24/12/2007;82.38
27/12/2007;82.59
28/12/2007;82.87
31/12/2007;82.68
02/01/2008;82.1
03/01/2008;81.54
04/01/2008;79.11
07/01/2008;79.09
08/01/2008;79.14
09/01/2008;76.16
10/01/2008;75.17
11/01/2008;73.17
14/01/2008;73.57
15/01/2008;70.8
16/01/2008;70.99
17/01/2008;69.93
18/01/2008;70.11
21/01/2008;65.41
22/01/2008;67.49
23/01/2008;64.52
24/01/2008;70.31
25/01/2008;69.78
28/01/2008;68.77
29/01/2008;70.11
30/01/2008;69.42
31/01/2008;68.53
01/02/2008;71.17
04/02/2008;71.25
05/02/2008;68.98
06/02/2008;69.71
07/02/2008;68.95
08/02/2008;68.91
11/02/2008;68
12/02/2008;70.55
13/02/2008;70.33
14/02/2008;70.5
15/02/2008;69
18/02/2008;70.12
19/02/2008;70.47
20/02/2008;69.51
21/02/2008;70.76
22/02/2008;70.35
25/02/2008;71.86
26/02/2008;72.89
27/02/2008;71.77
28/02/2008;69.87
29/02/2008;68.23
03/03/2008;67.87
04/03/2008;67.38
05/03/2008;67.96
06/03/2008;67.04
07/03/2008;66.12
10/03/2008;66.09
11/03/2008;66.11
12/03/2008;68.25
13/03/2008;66.4
14/03/2008;66.21
17/03/2008;64.15
18/03/2008;65.04
19/03/2008;64.67
20/03/2008;65.12
25/03/2008;69.34
26/03/2008;69.7
27/03/2008;69.88
28/03/2008;69.49
31/03/2008;70.5
01/04/2008;73.23
02/04/2008;73.59
03/04/2008;71.71
04/04/2008;71.45
07/04/2008;71.15
08/04/2008;70.75
09/04/2008;69.65
10/04/2008;68.16
11/04/2008;66.63
14/04/2008;65.86
15/04/2008;66.65
16/04/2008;69.33
17/04/2008;68.81
18/04/2008;70.61
21/04/2008;70.27
22/04/2008;69.53
23/04/2008;70.53
24/04/2008;70.79
25/04/2008;72.44
28/04/2008;72.08
29/04/2008;71.95
30/04/2008;73.42
02/05/2008;74.83
05/05/2008;74.81
06/05/2008;74.9
07/05/2008;74.95
08/05/2008;74.3
09/05/2008;73.5
12/05/2008;73.85
13/05/2008;73.99
14/05/2008;75.01
15/05/2008;76.85
16/05/2008;76.42
19/05/2008;76.96
20/05/2008;74.3
21/05/2008;73.53
22/05/2008;73.6
23/05/2008;72.2
26/05/2008;72.5
27/05/2008;72.51
28/05/2008;74.04
29/05/2008;74.48
30/05/2008;75.21
02/06/2008;74.37
03/06/2008;74.75
04/06/2008;74.53
05/06/2008;74.66
06/06/2008;72.79
09/06/2008;72.12
10/06/2008;71.59
11/06/2008;70.47
12/06/2008;71.58
13/06/2008;72.3
16/06/2008;71.66
17/06/2008;72.37
18/06/2008;71.57
19/06/2008;70.36
20/06/2008;68.4
23/06/2008;68.12
24/06/2008;66.79
25/06/2008;67.95
26/06/2008;66.13
27/06/2008;66.05
30/06/2008;66.58
01/07/2008;66.14
02/07/2008;65.77
03/07/2008;66.82
04/07/2008;63.3
07/07/2008;64.23
08/07/2008;63.87
09/07/2008;64.45
10/07/2008;62.27
11/07/2008;60.8
14/07/2008;61.9
15/07/2008;60.35
16/07/2008;62.91
17/07/2008;64.69
18/07/2008;66.75
21/07/2008;67.57
22/07/2008;67.11
