"date	ouv	haut	bas	clot	vol	devise"
"03/10/2006 00:00	5223.75	5230.51	5196.07	5219.79	4267	Pts"
"04/10/2006 00:00	5219.25	5261.24	5216.36	5256.55	5564	Pts"
"05/10/2006 00:00	5298.06	5300.18	5278.04	5288.53	5303	Pts"
"06/10/2006 00:00	5295	5295	5259.22	5282.06	4623	Pts"
"09/10/2006 00:00	5261.87	5291.32	5261.77	5284.74	3589	Pts"
"10/10/2006 00:00	5297.04	5313.82	5285.36	5309.79	4890	Pts"
"11/10/2006 00:00	5297.88	5313.72	5271.56	5313.19	5114	Pts"
"12/10/2006 00:00	5317.25	5363.87	5310.42	5361.51	6429	Pts"
"13/10/2006 00:00	5368.8	5372.81	5344.69	5353.23	4780	Pts"
"16/10/2006 00:00	5359	5366.26	5341.63	5361.97	3705	Pts"
"17/10/2006 00:00	5347.89	5353.67	5298.88	5302.99	4854	Pts"
"18/10/2006 00:00	5328.24	5381.9	5324.25	5361.29	4858	Pts"
"19/10/2006 00:00	5337.6	5377.74	5329.68	5359.74	4227	Pts"
"20/10/2006 00:00	5373.2	5399.83	5359.8	5375.35	4822	Pts"
"23/10/2006 00:00	5391.78	5420.23	5361.38	5411.81	3249	Pts"
"24/10/2006 00:00	5407.79	5411.37	5388.14	5404.54	4748	Pts"
"25/10/2006 00:00	5398.17	5427.1	5395.72	5422.28	5061	Pts"
"26/10/2006 00:00	5447.78	5458.21	5421.79	5433.79	6055	Pts"
"27/10/2006 00:00	5436.62	5448.67	5373.26	5396.03	4903	Pts"
"30/10/2006 00:00	5352.87	5365.89	5341.77	5362.23	4061	Pts"
"31/10/2006 00:00	5349.95	5372.35	5337.11	5348.73	5235	Pts"
"01/11/2006 00:00	5351.36	5387.77	5340.06	5370.86	3125	Pts"
"02/11/2006 00:00	5345.66	5354.92	5290.27	5310.07	4687	Pts"
"03/11/2006 00:00	5325.05	5359.74	5305.72	5336.3	4296	Pts"
"06/11/2006 00:00	5351.46	5402.36	5347.4	5402.36	3878	Pts"
"07/11/2006 00:00	5407.16	5447.02	5400.72	5437.78	4750	Pts"
"08/11/2006 00:00	5411.05	5441.91	5403.38	5437.16	4076	Pts"
"09/11/2006 00:00	5443.73	5451.35	5426.25	5448.6	4633	Pts"
"10/11/2006 00:00	5430.96	5454.6	5418.98	5447.5	4108	Pts"
"13/11/2006 00:00	5445.47	5502.47	5444.01	5490.56	4076	Pts"
"14/11/2006 00:00	5498.8	5500.72	5459.89	5476.28	4390	Pts"
"15/11/2006 00:00	5504.38	5511.53	5486.24	5511.53	3895	Pts"
"16/11/2006 00:00	5500.68	5518.43	5490.87	5505.72	4689	Pts"
"17/11/2006 00:00	5479.96	5489.12	5422.01	5439.71	5450	Pts"
"20/11/2006 00:00	5414.31	5466.83	5394.05	5454.74	3568	Pts"
"21/11/2006 00:00	5451.98	5486.21	5449.9	5459.35	3721	Pts"
"22/11/2006 00:00	5481.21	5494.34	5439.25	5452.49	4989	Pts"
"23/11/2006 00:00	5465.73	5470.75	5399.81	5424.86	3335	Pts"
"24/11/2006 00:00	5407.23	5416.36	5349.67	5389.46	4435	Pts"
"27/11/2006 00:00	5377.25	5402.09	5308.65	5308.65	5075	Pts"
"28/11/2006 00:00	5304.5	5321.11	5272.47	5306.24	4949	Pts"
"29/11/2006 00:00	5336.39	5381.25	5317.42	5381.25	5037	Pts"
"30/11/2006 00:00	5388.38	5398.96	5325.26	5327.64	5569	Pts"
"01/12/2006 00:00	5341.62	5365.3	5239.84	5254.05	7478	Pts"
"04/12/2006 00:00	5268.24	5299.12	5246.38	5296.08	4760	Pts"
"05/12/2006 00:00	5311.88	5374.11	5298.93	5359.69	6105	Pts"
"06/12/2006 00:00	5362.64	5376.15	5325.05	5350.62	4610	Pts"
"07/12/2006 00:00	5331.43	5401.49	5330.98	5379.21	5147	Pts"
"08/12/2006 00:00	5354.76	5387.7	5329.49	5384.16	4952	Pts"
"11/12/2006 00:00	5413.13	5432.35	5401.38	5427.56	5285	Pts"
"12/12/2006 00:00	5429.36	5432.57	5406.55	5426.82	5523	Pts"
"13/12/2006 00:00	5428.49	5480.4	5421.84	5475.85	6187	Pts"
"14/12/2006 00:00	5496.13	5516.5	5490.31	5509.58	5434	Pts"
"15/12/2006 00:00	5525.38	5553.45	5513.63	5541.62	7963	Pts"
"18/12/2006 00:00	5533.08	5545	5526.83	5530.32	4845	Pts"
"19/12/2006 00:00	5498.48	5507.75	5464.87	5484.76	4574	Pts"
"20/12/2006 00:00	5512.31	5524.98	5507.87	5514.42	4484	Pts"
"21/12/2006 00:00	5499.43	5527.11	5496.96	5510.39	4283	Pts"
"22/12/2006 00:00	5496.54	5503.2	5453.11	5453.94	3255	Pts"
"27/12/2006 00:00	5482.68	5540.01	5478.85	5540.01	2675	Pts"
"28/12/2006 00:00	5546.74	5549.47	5520.77	5533.36	2252	Pts"
"29/12/2006 00:00	5531.63	5553.86	5531.63	5541.76	2333	Pts"
"02/01/2007 00:00	5575.76	5621.65	5575.63	5617.71	3776	Pts"
"03/01/2007 00:00	5621	5623.67	5596.82	5610.92	4598	Pts"
"04/01/2007 00:00	5573.73	5585.54	5547.17	5574.56	5408	Pts"
"05/01/2007 00:00	5552.64	5566.24	5517.35	5517.35	5419	Pts"
"08/01/2007 00:00	5532.57	5555.67	5509.06	5518.59	4871	Pts"
"09/01/2007 00:00	5549.01	5563.48	5532.62	5533.03	6230	Pts"
"10/01/2007 00:00	5505.36	5524.11	5473.47	5501.95	5777	Pts"
"11/01/2007 00:00	5523.72	5609.8	5515.6	5609.8	6896	Pts"
"12/01/2007 00:00	5597.02	5619.93	5589.03	5617.62	5699	Pts"
"15/01/2007 00:00	5641.37	5649.76	5623.35	5631.08	4133	Pts"
"16/01/2007 00:00	5637.27	5645.2	5588.77	5591.54	4851	Pts"
"17/01/2007 00:00	5592.31	5602.68	5538.48	5561.78	5330	Pts"
"18/01/2007 00:00	5584.75	5609.34	5539.82	5555.04	7648	Pts"
"19/01/2007 00:00	5554.5	5623.4	5529.44	5614.7	7599	Pts"
"22/01/2007 00:00	5630.41	5639.7	5576.56	5579.78	5872	Pts"
"23/01/2007 00:00	5582.99	5592.82	5539.76	5575.07	6483	Pts"
"24/01/2007 00:00	5595.96	5646.14	5593.36	5638.08	5935	Pts"
"25/01/2007 00:00	5649.01	5658.08	5590.65	5609.2	6489	Pts"
"26/01/2007 00:00	5577.31	5611.84	5547.68	5582.3	6413	Pts"
"29/01/2007 00:00	5592.73	5630.33	5582.43	5619.7	4856	Pts"
"30/01/2007 00:00	5610.89	5653.88	5603.23	5645.59	5095	Pts"
"31/01/2007 00:00	5637.77	5653.76	5601.17	5608.31	5296	Pts"
"01/02/2007 00:00	5664.09	5689.44	5657.23	5662.25	6006	Pts"
"02/02/2007 00:00	5680.13	5693.47	5666.77	5677.3	5807	Pts"
"05/02/2007 00:00	5671.23	5691.83	5659.36	5681.11	4699	Pts"
"06/02/2007 00:00	5680.12	5699.27	5670.48	5676.78	4385	Pts"
"07/02/2007 00:00	5687.27	5710.57	5681.89	5703	5411	Pts"
"08/02/2007 00:00	5705.16	5711.04	5652.48	5665.1	5118	Pts"
"09/02/2007 00:00	5699.18	5710.31	5688.94	5692.45	4953	Pts"
"12/02/2007 00:00	5670.73	5670.73	5625.17	5643.95	4598	Pts"
"13/02/2007 00:00	5656.48	5682.69	5651.27	5682.69	5425	Pts"
"14/02/2007 00:00	5700.4	5725.84	5693.36	5725.84	6138	Pts"
"15/02/2007 00:00	5724.54	5729.16	5703.67	5720.88	7616	Pts"
"16/02/2007 00:00	5716.43	5728.36	5703.64	5713.59	5447	Pts"
"19/02/2007 00:00	5723.05	5758.33	5717.37	5739.9	4154	Pts"
"20/02/2007 00:00	5739.27	5744.78	5678.38	5713.45	5070	Pts"
"21/02/2007 00:00	5732.8	5736.24	5677.59	5694.56	5358	Pts"
"22/02/2007 00:00	5723.15	5737.36	5700.78	5707.86	5098	Pts"
"23/02/2007 00:00	5723.79	5727.6	5688.83	5716.38	5854	Pts"
"26/02/2007 00:00	5732.28	5771.69	5728.07	5762.54	5044	Pts"
"27/02/2007 00:00	5719.04	5719.45	5581.06	5588.39	9556	Pts"
"28/02/2007 00:00	5475.89	5556.85	5458.65	5516.32	11185	Pts"
"01/03/2007 00:00	5502.09	5555.37	5355.75	5458.4	12275	Pts"
"02/03/2007 00:00	5480.27	5499.22	5391.1	5424.7	8015	Pts"
"05/03/2007 00:00	5325.14	5404.14	5303.29	5385.03	8240	Pts"
"06/03/2007 00:00	5431.15	5443.95	5399.12	5437.13	7353	Pts"
"07/03/2007 00:00	5458.3	5469.01	5430.7	5455.07	6919	Pts"
"08/03/2007 00:00	5493.7	5529.31	5481.55	5524.26	6878	Pts"
"09/03/2007 00:00	5515.92	5549.3	5473.32	5537.84	6184	Pts"
"12/03/2007 00:00	5553.82	5565.42	5478.52	5496.07	5508	Pts"
"13/03/2007 00:00	5498.58	5508.56	5432.51	5432.94	5707	Pts"
"14/03/2007 00:00	5346.74	5366.71	5295.58	5296.22	9810	Pts"
"15/03/2007 00:00	5376.36	5389.85	5320.37	5389.85	7378	Pts"
"16/03/2007 00:00	5380.13	5420.62	5346.73	5382.16	8387	Pts"
"19/03/2007 00:00	5435.37	5459.4	5411.54	5458.95	5340	Pts"
"20/03/2007 00:00	5459.67	5504.84	5426.43	5503.27	6139	Pts"
"21/03/2007 00:00	5499.05	5518.12	5490.58	5502.18	4977	Pts"
"22/03/2007 00:00	5577.72	5610.43	5560.5	5598.37	6978	Pts"
"23/03/2007 00:00	5589.8	5642.19	5576.82	5634.75	5834	Pts"
"26/03/2007 00:00	5638.48	5638.63	5546.28	5576.3	5829	Pts"
"27/03/2007 00:00	5609.66	5617.97	5572.01	5587.06	4505	Pts"
"28/03/2007 00:00	5563.5	5574.91	5530.79	5552.69	5451	Pts"
"29/03/2007 00:00	5579.99	5633.42	5578.84	5631.53	4711	Pts"
"30/03/2007 00:00	5630.17	5674.26	5609.02	5634.16	4630	Pts"
"02/04/2007 00:00	5623.4	5648.18	5609.28	5645.56	5090	Pts"
"03/04/2007 00:00	5681.65	5713.53	5669.28	5711.91	5496	Pts"
"04/04/2007 00:00	5730.28	5739.01	5707.39	5739.01	5341	Pts"
"05/04/2007 00:00	5731.7	5751.33	5721	5741.38	3918	Pts"
"10/04/2007 00:00	5750.47	5774.97	5725.93	5766.27	5838	Pts"
"11/04/2007 00:00	5757.94	5798.21	5741.27	5751.92	5369	Pts"
